"Sample Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[standard volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[sample volume]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"MS Assay Name"	"Raw Spectral Data File"	"Comment[Data Repository]"	"Comment[Data Record Accession]"	"Factor Value[limiting nutrient]"	"Term Source REF"	"Term Accession Number"	"Factor Value[rate]"	"Unit"	"Term Source REF"	"Term Accession Number"
"G-0.07-aliquot5"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot5"	"JIC47_GlucoseO2_0.07_Internal_2_1"	"JIC47_GlucoseO2_0.07_Internal_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.07-aliquot6"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.07-aliquot6"	"JIC48_GlucoseO2_0.07_Internal_3_1"	"JIC48_GlucoseO2_0.07_Internal_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.07"	"l/hr"	""	""
"G-0.1-aliquot4"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot4"	"JIC49_GlucoseO2_0.10_Internal_1_1"	"JIC49_GlucoseO2_0.10_Internal_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
"G-0.1-aliquot5"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot5"	"JIC50_GlucoseO2_0.10_Internal_2_1"	"JIC50_GlucoseO2_0.10_Internal_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
"G-0.1-aliquot6"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.1-aliquot6"	"JIC51_GlucoseO2_0.10_Internal_3_1"	"JIC51_GlucoseO2_0.10_Internal_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.1"	"l/hr"	""	""
"G-0.2-aliquot4"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot4"	"JIC52_GlucoseO2_0.20_Internal_1_1"	"JIC52_GlucoseO2_0.20_Internal_1_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"G-0.2-aliquot5"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot5"	"JIC53_GlucoseO2_0.20_Internal_2_1"	"JIC53_GlucoseO2_0.20_Internal_2_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"G-0.2-aliquot6"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"G-0.2-aliquot6"	"JIC54_GlucoseO2_0.20_Internal_3_1"	"JIC54_GlucoseO2_0.20_Internal_3_1.txt"	""	""	"glucose"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_17234"	"0.2"	"l/hr"	""	""
"E-0.07-aliquot1"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot1"	"JIC37_Ethanol_0.07_Internal_1_1"	"JIC37_Ethanol_0.07_Internal_1_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot1"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot1"	"JIC37_Ethanol_0.07_Internal_1_2"	"JIC37_Ethanol_0.07_Internal_1_2.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot1"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot1"	"JIC37_Ethanol_0.07_Internal_1_3"	"JIC37_Ethanol_0.07_Internal_1_3.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot2"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot2"	"JIC38_Ethanol_0.07_Internal_2_1"	"JIC38_Ethanol_0.07_Internal_2_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.07-aliquot3"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.07-aliquot3"	"JIC39_Ethanol_0.07_Internal_3_1"	"JIC39_Ethanol_0.07_Internal_3_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.07"	"l/hr"	""	""
"E-0.1-aliquot1"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot1"	"JIC40_Ethanol_0.10_Internal_1_1"	"JIC40_Ethanol_0.10_Internal_1_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
"E-0.1-aliquot2"	"intracellular"	"CL"	"http://purl.obolibrary.org/obo/GO_0005622"	"metabolite extraction"	"4"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"200"	"microliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000101"	"E-0.1-aliquot2"	"JIC41_Ethanol_0.10_Internal_2_1"	"JIC41_Ethanol_0.10_Internal_2_1.txt"	""	""	"ethanol"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_16236"	"0.1"	"l/hr"	""	""
